,train,val,test
0,slide_0,slide_91,slide_482
1,slide_106,slide_263,slide_268
2,slide_107,slide_264,slide_365
3,slide_109,slide_446,slide_193
4,slide_12,slide_447,slide_418
5,slide_13,slide_221,slide_419
6,slide_116,slide_222,slide_15
7,slide_117,slide_313,slide_132
8,slide_118,slide_266,slide_114
9,slide_125,slide_251,slide_407
10,slide_126,slide_326,slide_359
11,slide_14,slide_100,slide_22
12,slide_129,slide_201,slide_115
13,slide_130,slide_158,slide_187
14,slide_133,slide_113,slide_461
15,slide_135,slide_163,slide_436
16,slide_136,slide_490,slide_437
17,slide_137,slide_153,slide_438
18,slide_138,slide_43,slide_121
19,slide_139,slide_443,slide_86
20,slide_140,slide_345,slide_134
21,slide_141,slide_2,slide_103
22,slide_143,slide_215,slide_157
23,slide_145,slide_216,slide_393
24,slide_148,slide_354,slide_394
25,slide_151,slide_441,slide_79
26,slide_17,slide_442,slide_97
27,slide_159,slide_166,slide_80
28,slide_160,slide_108,slide_252
29,slide_161,slide_465,slide_253
30,slide_162,slide_464,slide_93
31,slide_169,slide_311,slide_399
32,slide_171,slide_214,slide_336
33,slide_172,slide_36,slide_439
34,slide_173,slide_211,slide_28
35,slide_174,slide_415,slide_325
36,slide_175,slide_335,slide_95
37,slide_176,slide_400,slide_96
38,slide_177,slide_420,slide_146
39,slide_179,slide_421,slide_235
40,slide_180,slide_51,slide_48
41,slide_181,slide_150,slide_41
42,slide_182,slide_61,slide_168
43,slide_183,slide_485,slide_154
44,slide_185,slide_401,slide_4
45,slide_186,slide_426,slide_278
46,slide_188,slide_62,slide_323
47,slide_194,slide_483,slide_128
48,slide_195,slide_275,slide_119
49,slide_196,slide_254,slide_144
50,slide_198,,
51,slide_199,,
52,slide_200,,
53,slide_203,,
54,slide_204,,
55,slide_206,,
56,slide_207,,
57,slide_208,,
58,slide_213,,
59,slide_217,,
60,slide_218,,
61,slide_219,,
62,slide_223,,
63,slide_225,,
64,slide_226,,
65,slide_228,,
66,slide_229,,
67,slide_231,,
68,slide_232,,
69,slide_233,,
70,slide_234,,
71,slide_240,,
72,slide_242,,
73,slide_243,,
74,slide_250,,
75,slide_255,,
76,slide_259,,
77,slide_262,,
78,slide_271,,
79,slide_272,,
80,slide_273,,
81,slide_274,,
82,slide_276,,
83,slide_279,,
84,slide_280,,
85,slide_281,,
86,slide_282,,
87,slide_283,,
88,slide_287,,
89,slide_291,,
90,slide_294,,
91,slide_295,,
92,slide_296,,
93,slide_298,,
94,slide_299,,
95,slide_301,,
96,slide_306,,
97,slide_310,,
98,slide_32,,
99,slide_315,,
100,slide_316,,
101,slide_318,,
102,slide_322,,
103,slide_3,,
104,slide_324,,
105,slide_329,,
106,slide_330,,
107,slide_11,,
108,slide_111,,
109,slide_120,,
110,slide_122,,
111,slide_124,,
112,slide_131,,
113,slide_16,,
114,slide_147,,
115,slide_149,,
116,slide_156,,
117,slide_164,,
118,slide_167,,
119,slide_170,,
120,slide_20,,
121,slide_184,,
122,slide_190,,
123,slide_21,,
124,slide_191,,
125,slide_209,,
126,slide_210,,
127,slide_23,,
128,slide_230,,
129,slide_25,,
130,slide_237,,
131,slide_238,,
132,slide_239,,
133,slide_246,,
134,slide_26,,
135,slide_248,,
136,slide_256,,
137,slide_257,,
138,slide_258,,
139,slide_260,,
140,slide_267,,
141,slide_269,,
142,slide_270,,
143,slide_29,,
144,slide_285,,
145,slide_286,,
146,slide_289,,
147,slide_30,,
148,slide_297,,
149,slide_300,,
150,slide_302,,
151,slide_31,,
152,slide_303,,
153,slide_305,,
154,slide_307,,
155,slide_308,,
156,slide_312,,
157,slide_314,,
158,slide_317,,
159,slide_319,,
160,slide_33,,
161,slide_327,,
162,slide_1,,
163,slide_110,,
164,slide_112,,
165,slide_123,,
166,slide_127,,
167,slide_142,,
168,slide_152,,
169,slide_155,,
170,slide_165,,
171,slide_18,,
172,slide_19,,
173,slide_178,,
174,slide_189,,
175,slide_192,,
176,slide_197,,
177,slide_202,,
178,slide_205,,
179,slide_212,,
180,slide_220,,
181,slide_24,,
182,slide_224,,
183,slide_227,,
184,slide_236,,
185,slide_241,,
186,slide_244,,
187,slide_245,,
188,slide_247,,
189,slide_249,,
190,slide_27,,
191,slide_261,,
192,slide_265,,
193,slide_277,,
194,slide_284,,
195,slide_288,,
196,slide_290,,
197,slide_292,,
