,train,val,test
slide_0,True,False,False
slide_106,True,False,False
slide_107,True,False,False
slide_109,True,False,False
slide_12,True,False,False
slide_13,True,False,False
slide_116,True,False,False
slide_117,True,False,False
slide_118,True,False,False
slide_125,True,False,False
slide_126,True,False,False
slide_14,True,False,False
slide_129,True,False,False
slide_130,True,False,False
slide_133,True,False,False
slide_135,True,False,False
slide_136,True,False,False
slide_137,True,False,False
slide_138,True,False,False
slide_139,True,False,False
slide_140,True,False,False
slide_141,True,False,False
slide_143,True,False,False
slide_145,True,False,False
slide_148,True,False,False
slide_151,True,False,False
slide_17,True,False,False
slide_159,True,False,False
slide_160,True,False,False
slide_161,True,False,False
slide_162,True,False,False
slide_169,True,False,False
slide_171,True,False,False
slide_172,True,False,False
slide_173,True,False,False
slide_174,True,False,False
slide_175,True,False,False
slide_176,True,False,False
slide_177,True,False,False
slide_179,True,False,False
slide_180,True,False,False
slide_181,True,False,False
slide_182,True,False,False
slide_183,True,False,False
slide_185,True,False,False
slide_186,True,False,False
slide_188,True,False,False
slide_194,True,False,False
slide_195,True,False,False
slide_196,True,False,False
slide_198,True,False,False
slide_199,True,False,False
slide_200,True,False,False
slide_203,True,False,False
slide_204,True,False,False
slide_206,True,False,False
slide_207,True,False,False
slide_208,True,False,False
slide_213,True,False,False
slide_217,True,False,False
slide_218,True,False,False
slide_219,True,False,False
slide_223,True,False,False
slide_225,True,False,False
slide_226,True,False,False
slide_228,True,False,False
slide_229,True,False,False
slide_231,True,False,False
slide_232,True,False,False
slide_233,True,False,False
slide_234,True,False,False
slide_240,True,False,False
slide_242,True,False,False
slide_243,True,False,False
slide_250,True,False,False
slide_255,True,False,False
slide_259,True,False,False
slide_262,True,False,False
slide_271,True,False,False
slide_272,True,False,False
slide_273,True,False,False
slide_274,True,False,False
slide_276,True,False,False
slide_279,True,False,False
slide_280,True,False,False
slide_281,True,False,False
slide_282,True,False,False
slide_283,True,False,False
slide_287,True,False,False
slide_291,True,False,False
slide_294,True,False,False
slide_295,True,False,False
slide_296,True,False,False
slide_298,True,False,False
slide_299,True,False,False
slide_301,True,False,False
slide_306,True,False,False
slide_310,True,False,False
slide_32,True,False,False
slide_315,True,False,False
slide_316,True,False,False
slide_318,True,False,False
slide_322,True,False,False
slide_3,True,False,False
slide_324,True,False,False
slide_329,True,False,False
slide_330,True,False,False
slide_11,True,False,False
slide_111,True,False,False
slide_120,True,False,False
slide_122,True,False,False
slide_124,True,False,False
slide_131,True,False,False
slide_16,True,False,False
slide_147,True,False,False
slide_149,True,False,False
slide_156,True,False,False
slide_164,True,False,False
slide_167,True,False,False
slide_170,True,False,False
slide_20,True,False,False
slide_184,True,False,False
slide_190,True,False,False
slide_21,True,False,False
slide_191,True,False,False
slide_209,True,False,False
slide_210,True,False,False
slide_23,True,False,False
slide_230,True,False,False
slide_25,True,False,False
slide_237,True,False,False
slide_238,True,False,False
slide_239,True,False,False
slide_246,True,False,False
slide_26,True,False,False
slide_248,True,False,False
slide_256,True,False,False
slide_257,True,False,False
slide_258,True,False,False
slide_260,True,False,False
slide_267,True,False,False
slide_269,True,False,False
slide_270,True,False,False
slide_29,True,False,False
slide_285,True,False,False
slide_286,True,False,False
slide_289,True,False,False
slide_30,True,False,False
slide_297,True,False,False
slide_300,True,False,False
slide_302,True,False,False
slide_31,True,False,False
slide_303,True,False,False
slide_305,True,False,False
slide_307,True,False,False
slide_308,True,False,False
slide_312,True,False,False
slide_314,True,False,False
slide_317,True,False,False
slide_319,True,False,False
slide_33,True,False,False
slide_327,True,False,False
slide_1,True,False,False
slide_110,True,False,False
slide_112,True,False,False
slide_123,True,False,False
slide_127,True,False,False
slide_142,True,False,False
slide_152,True,False,False
slide_155,True,False,False
slide_165,True,False,False
slide_18,True,False,False
slide_19,True,False,False
slide_178,True,False,False
slide_189,True,False,False
slide_192,True,False,False
slide_197,True,False,False
slide_202,True,False,False
slide_205,True,False,False
slide_212,True,False,False
slide_220,True,False,False
slide_24,True,False,False
slide_224,True,False,False
slide_227,True,False,False
slide_236,True,False,False
slide_241,True,False,False
slide_244,True,False,False
slide_245,True,False,False
slide_247,True,False,False
slide_249,True,False,False
slide_27,True,False,False
slide_261,True,False,False
slide_265,True,False,False
slide_277,True,False,False
slide_284,True,False,False
slide_288,True,False,False
slide_290,True,False,False
slide_292,True,False,False
slide_91,False,True,False
slide_263,False,True,False
slide_264,False,True,False
slide_446,False,True,False
slide_447,False,True,False
slide_221,False,True,False
slide_222,False,True,False
slide_313,False,True,False
slide_266,False,True,False
slide_251,False,True,False
slide_326,False,True,False
slide_100,False,True,False
slide_201,False,True,False
slide_158,False,True,False
slide_113,False,True,False
slide_163,False,True,False
slide_490,False,True,False
slide_153,False,True,False
slide_43,False,True,False
slide_443,False,True,False
slide_345,False,True,False
slide_2,False,True,False
slide_215,False,True,False
slide_216,False,True,False
slide_354,False,True,False
slide_441,False,True,False
slide_442,False,True,False
slide_166,False,True,False
slide_108,False,True,False
slide_465,False,True,False
slide_464,False,True,False
slide_311,False,True,False
slide_214,False,True,False
slide_36,False,True,False
slide_211,False,True,False
slide_415,False,True,False
slide_335,False,True,False
slide_400,False,True,False
slide_420,False,True,False
slide_421,False,True,False
slide_51,False,True,False
slide_150,False,True,False
slide_61,False,True,False
slide_485,False,True,False
slide_401,False,True,False
slide_426,False,True,False
slide_62,False,True,False
