wsi_name,bgr_intensity
TCGA-DD-AACK-01Z-00-DX1.9B507BB8-18D5-419A-AEB4-5B71ECAECDAC.svs,[243. 243. 243.]
TCGA-2V-A95S-01Z-00-DX1.9DFA6FC7-87A6-4C14-9A39-E3F12B01C4D4.svs,[237. 235. 235.]
TCGA-2Y-A9GS-01Z-00-DX1.75C5CEF1-6C8B-42FF-82F6-9A05621E9A80.svs,[240. 240. 240.]
TCGA-2Y-A9GT-01Z-00-DX1.30666775-3556-4DFE-A5EC-8CCF8EEB1803.svs,[242. 243. 241.]
TCGA-2Y-A9GU-01Z-00-DX1.700CBBD7-9F58-470D-A85B-C7BAE5608018.svs,[241. 242. 240.]
TCGA-2Y-A9GV-01Z-00-DX1.524FA6DD-7C84-425C-A2B5-17690DF50A28.svs,[242. 242. 241.]
TCGA-2Y-A9GW-01Z-00-DX1.71805205-933D-4D72-A4A2-586DC5490D76.svs,[242. 242. 241.]
TCGA-2Y-A9GX-01Z-00-DX1.DC3E1EAB-686A-44F9-91AF-0C6975DE029E.svs,[239. 239. 238.]
TCGA-2Y-A9GY-01Z-00-DX1.9AF8DAB8-B99C-4484-A065-20E7345E1FF4.svs,[242. 243. 241.]
TCGA-2Y-A9GZ-01Z-00-DX1.4E8C9A7D-D21D-4B6E-8C1B-DC520309AB91.svs,[238. 239. 238.]
TCGA-2Y-A9H1-01Z-00-DX1.FE4D124E-AB92-4083-8D09-F025B0C637EB.svs,[239. 239. 239.]
TCGA-2Y-A9H2-01Z-00-DX1.D1B4968D-8AAD-4F12-8447-6FC752E8DDE4.svs,[240. 241. 240.]
TCGA-2Y-A9H3-01Z-00-DX1.813C14D8-DBBC-43AF-9E3A-9EFC1D1AFC98.svs,[238. 237. 237.]
TCGA-2Y-A9H4-01Z-00-DX1.897C9E71-7FD7-4229-9A95-F61AE43D0FDA.svs,[242. 243. 241.]
TCGA-2Y-A9H5-01Z-00-DX1.08348C3C-A16F-45F6-8AE9-D0613268D703.svs,[238. 238. 237.]
TCGA-2Y-A9H6-01Z-00-DX1.B805A8D8-B75D-449F-8D1A-8E948ED12757.svs,[242. 243. 241.]
TCGA-2Y-A9H7-01Z-00-DX1.E61F4D00-5D48-412C-A6EB-DD731C5A3ECE.svs,[241. 242. 241.]
TCGA-2Y-A9H8-01Z-00-DX1.1993AB53-D47B-4E15-BC97-B9E4B1F40A80.svs,[240. 240. 240.]
TCGA-2Y-A9H9-01Z-00-DX1.4C1CCB4D-6011-4275-B562-28BFFA5F0C7F.svs,[242. 243. 241.]
TCGA-2Y-A9HB-01Z-00-DX1.ECF68E86-4D45-4545-A1D2-184D5ED38C3C.svs,[242. 242. 241.]
TCGA-4R-AA8I-01Z-00-DX1.99273858-6CCB-4AD3-8FFF-9E47293F0CD6.svs,[242. 242. 242.]
TCGA-5C-A9VG-01Z-00-DX1.BB05C938-5C51-4A15-925C-54C4FE0C6280.svs,[242. 242. 242.]
TCGA-5R-AA1C-01Z-00-DX1.DC038B55-4002-406D-B9DD-2A4BFDB03A61.svs,[242. 242. 241.]
TCGA-5R-AA1D-01Z-00-DX1.3B9C354E-7523-479C-955D-7D409D475C0C.svs,[241. 241. 241.]
TCGA-5R-AAAM-01Z-00-DX1.827D5EA8-7603-4F83-B6C1-32DC9F56D7B8.svs,[243. 244. 243.]
TCGA-BC-4072-01Z-00-DX1.8D27B669-CD01-4018-828E-1B87AA1649B5.svs,[242. 242. 241.]
TCGA-BC-4073-01Z-00-DX1.2719E599-CE6A-41B9-8134-FA09FE58F94D.svs,[242. 242. 242.]
TCGA-BC-A10R-01Z-00-DX1.6A5135A9-04DB-42B5-AD16-5DC224CCAA2B.svs,[242. 242. 242.]
TCGA-BC-A10T-01Z-00-DX1.2F634D24-C571-49E1-ACAE-B19F8AFF71D3.svs,[242. 242. 241.]
TCGA-BC-A10U-01Z-00-DX1.6EF0CB11-CB54-4469-B5C8-2C21B733A138.svs,[242. 242. 242.]
TCGA-BC-A10Y-01Z-00-DX1.C03EC762-45F6-40B4-927F-3D2162389FAD.svs,[242. 242. 241.]
TCGA-BC-A10Z-01Z-00-DX1.4AB6A0FC-31FD-4399-B58B-EAB6953AFBFE.svs,[242. 242. 242.]
TCGA-BC-A110-01Z-00-DX1.E46C2B24-A159-4970-82B8-8F6CD60FDFB0.svs,[242. 242. 241.]
TCGA-BC-A112-01Z-00-DX1.4CC4A845-25F1-4DC2-8142-9990A66E9C1B.svs,[242. 242. 242.]
TCGA-BC-A216-01Z-00-DX1.6B5FFDF4-3E96-4B6A-8E1E-F4567CA04FCE.svs,[242. 242. 241.]
TCGA-BC-A217-01Z-00-DX1.E15D9B32-F809-40D8-846B-2334447B80C0.svs,[242. 243. 242.]
TCGA-BC-A3KF-01Z-00-DX1.F3B071B2-8C62-4867-8F60-6E207BE1EDF4.svs,[242. 242. 242.]
TCGA-BC-A3KG-01Z-00-DX1.FC63E3C7-C7AF-45F0-8DD4-7968B8425C09.svs,[242. 242. 242.]
TCGA-BC-A5W4-01Z-00-DX1.57017E96-B611-420D-BEED-021B928A1BA8.svs,[242. 242. 242.]
TCGA-DD-AAD1-01Z-00-DX1.819657B9-773A-4E85-9D8B-C9EB580FAD87.svs,[242. 242. 241.]
TCGA-DD-AAD2-01Z-00-DX1.B91E4434-883A-43B5-8655-993FA4472F73.svs,[243. 243. 243.]
TCGA-DD-AAD3-01Z-00-DX1.DB86DCF0-4571-4E47-BDA5-FFD44D7D950E.svs,[242. 242. 242.]
TCGA-DD-AAD5-01Z-00-DX1.3BFFFADC-EED3-44D3-8FA8-C31BB0D6DF91.svs,[241. 240. 241.]
TCGA-DD-AAD6-01Z-00-DX1.FC66F738-8A41-473A-91A2-3C541294E934.svs,[242. 242. 242.]
TCGA-DD-AAD8-01Z-00-DX1.7D3A7FA8-A5FE-49C4-9C45-4F4775278937.svs,[242. 241. 241.]
TCGA-DD-AADA-01Z-00-DX1.9008B43F-5955-44BB-9CDE-0294750C6F09.svs,[242. 242. 242.]
TCGA-DD-AADB-01Z-00-DX1.F708320D-E595-4196-B133-E097E9C8FC80.svs,[241. 241. 241.]
TCGA-DD-AADC-01Z-00-DX1.6ABF7688-3709-4196-8AC4-9143E29CEBB8.svs,[241. 241. 241.]
TCGA-DD-AADD-01Z-00-DX1.CE7194E0-40B5-4377-A682-A7060E4D41F3.svs,[241. 241. 241.]
TCGA-DD-AADF-01Z-00-DX1.953F6603-2A57-4BB0-B402-46CCB7940751.svs,[242. 241. 241.]
TCGA-DD-AADG-01Z-00-DX1.0E38633E-5352-4190-9D58-82753F7BA25E.svs,[241. 241. 241.]
TCGA-2Y-A9H0-01Z-00-DX1.E1725D1E-B135-47B3-820B-BEE1FC4EDCF0.svs,[241. 243. 240.]
TCGA-2Y-A9HA-01Z-00-DX1.207BE113-34E5-4C03-BE26-96E6CFDA9D9B.svs,[242. 243. 241.]
