ProbeID	Codeset.Name	Probe.Label	Analyte.Type	Is.Control	Control.Type	Related.Probes	Probe.Annotation	KEGG.Pathways	Cell.Type	Official.Gene.Name	Control.Conc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_000077.4:1052	NS_IO_360_V1.0	CDKN2A	mRNA	False			Cell Proliferation;Metabolic Stress	hsa04110;hsa04115;hsa05166;hsa05200;hsa05203;hsa05206;hsa05212;hsa05214;hsa05218;hsa05219;hsa05220;hsa05223		CDKN2A	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_004120.4:1744	NS_IO_360_V1.0	GBP2	mRNA	False			Interferon Signaling			GBP2	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_138636.4:2210	NS_IO_360_V1.0	TLR8	mRNA	False			Myeloid Compartment	hsa04620		TLR8	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001146055.1:480	NS_IO_360_V1.0	SNCA	mRNA	False				hsa05010;hsa05012		SNCA	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001165.4:6567	NS_IO_360_V1.0	BIRC3	mRNA	False			Apoptosis;NF-kappaB Signaling	hsa04064;hsa04120;hsa04210;hsa04510;hsa04621;hsa04668;hsa05145;hsa05200;hsa05202;hsa05222		BIRC3	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_005516.5:1287	NS_IO_360_V1.0	HLA-E	mRNA	False			Antigen Presentation;Immune Cell Adhesion and Migration;Interferon Signaling	hsa04144;hsa04145;hsa04514;hsa04612;hsa04650;hsa04940;hsa05166;hsa05168;hsa05169;hsa05203;hsa05320;hsa05330;hsa05332;hsa05416		HLA-E	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001135652.2:516	NS_IO_360_V1.0	EIF2AK2	mRNA	False			Interferon Signaling	hsa04141;hsa05160;hsa05162;hsa05164;hsa05168;hsa05169;hsa05203		EIF2AK2	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_000972.2:657	NS_IO_360_V1.0	RPL7A	mRNA	False			Angiogenesis			RPL7A	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_002190.2:183	NS_IO_360_V1.0	IL17A	mRNA	False			Costimulatory Signaling;Cytokine and Chemokine Signaling	hsa04060;hsa05321;hsa05323		IL17A	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_005621.1:260	NS_IO_360_V1.0	S100A12	mRNA	False			Myeloid Compartment		Neutrophils	S100A12	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001278426.3:591	NS_IO_360_V1.0	LILRB4	mRNA	False				hsa04380		LILRB4	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001775.2:280	NS_IO_360_V1.0	CD38	mRNA	False			Lymphoid Compartment	hsa01100;hsa04020;hsa04640;hsa04921;hsa04970;hsa05169		CD38	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_000181.1:1350	NS_IO_360_V1.0	GUSB	mRNA	True	Housekeeping					GUSB	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_002838.4:258	NS_IO_360_V1.0	CD45RA	mRNA	False		NM_080921.3:258;NM_080921.3:99		hsa04514;hsa04660;hsa04666;hsa05340	CD45	PTPRC	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_003200.3:276	NS_IO_360_V1.0	TCF3	mRNA	False				hsa04550;hsa05166;hsa05202		TCF3	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001001392.1:566	NS_IO_360_V1.0	CD44	mRNA	False			Costimulatory Signaling;Matrix Remodeling and Metastasis;Interferon Signaling	hsa04512;hsa04640;hsa05131;hsa05169;hsa05205;hsa05206		CD44	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001244871.1:2475	NS_IO_360_V1.0	DAB2	mRNA	False			Myeloid Compartment	hsa04144		DAB2	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001161683.1:1693	NS_IO_360_V1.0	OTOA	mRNA	False						OTOA	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_002258.2:85	NS_IO_360_V1.0	KLRB1	mRNA	False			Cytotoxicity;Lymphoid Compartment	hsa05144	Cytotoxic cells	KLRB1	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_004460.2:236	NS_IO_360_V1.0	FAP	mRNA	False						FAP	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_004972.2:455	NS_IO_360_V1.0	JAK2	mRNA	False			Epigenetic Regulation;Cytokine and Chemokine Signaling;Interferon Signaling;JAK-STAT Signaling;Cytotoxicity;PI3K-Akt;Lymphoid Compartment	hsa04062;hsa04151;hsa04550;hsa04630;hsa04725;hsa04917;hsa04920;hsa04933;hsa05140;hsa05145;hsa05152;hsa05162;hsa05164;hsa05168		JAK2	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_197954.2:55	NS_IO_360_V1.0	CLEC7A	mRNA	False			Immune Cell Adhesion and Migration;Myeloid Compartment	hsa04145;hsa05152		CLEC7A	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001025159.2:1161	NS_IO_360_V1.0	CD74	mRNA	False			Antigen Presentation	hsa04612;hsa05152;hsa05168		CD74	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_005406.2:3796	NS_IO_360_V1.0	ROCK1	mRNA	False			Cytokine and Chemokine Signaling;Immune Cell Adhesion and Migration;Apoptosis;TGF-beta Signaling	hsa04022;hsa04024;hsa04062;hsa04071;hsa04270;hsa04350;hsa04360;hsa04510;hsa04611;hsa04670;hsa04810;hsa04921;hsa05130;hsa05131;hsa05132;hsa05200;hsa05205;hsa05206		ROCK1	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_030775.2:254	NS_IO_360_V1.0	WNT5B	mRNA	False			Wnt Signaling;Hedgehog Signaling	hsa04310;hsa04340;hsa04390;hsa04550;hsa04916;hsa05166;hsa05200;hsa05205;hsa05217		WNT5B	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_015177.1:4820	NS_IO_360_V1.0	DTX4	mRNA	False			Notch Signaling	hsa04330		DTX4	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_001077494.3:1986	NS_IO_360_V1.0	NFKB2	mRNA	False			NF-kappaB Signaling;MAPK	hsa04010;hsa04064;hsa04380;hsa05134;hsa05166;hsa05169;hsa05200;hsa05203		NFKB2	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_006274.2:133	NS_IO_360_V1.0	CCL19	mRNA	False			Cytokine and Chemokine Signaling	hsa04060;hsa04062;hsa04064		CCL19	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NM_000587.2:1488	NS_IO_360_V1.0	C7	mRNA	False				hsa04610;hsa05020;hsa05322		C7	;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
