Sample,Cluster
A95S.01A,Cluster High
AAE4.01A,Cluster High
AADS.01A,Cluster High
A5KG.01A,Cluster High
A9GT.01A,Cluster High
A5RG.01A,Cluster High
AACI.01A,Cluster High
AADN.01A,Cluster High
AACC.01A,Cluster High
A7MF.01A,Cluster High
AACB.01A,Cluster High
A7D4.01A,Cluster High
A110.01A,Cluster High
A3M9.01A,Cluster High
AAEH.01A,Cluster High
AAEA.01A,Cluster High
AADI.01A,Cluster High
A75H.01A,Cluster High
A5SK.01A,Cluster High
AAE2.01A,Cluster High
A8TD.01A,Cluster High
A5NQ.01A,Cluster High
AAV3.01A,Cluster High
AACL.01A,Cluster High
A73F.01A,Cluster High
A114.01A,Cluster High
A4ZQ.01A,Cluster High
A4NR.01A,Cluster High
A1EC.01A,Cluster High
A3OU.01A,Cluster High
AAVV.01A,Cluster High
A3JL.01A,Cluster High
A3RK.01A,Cluster High
X4072.01B,Cluster High
AACZ.01A,Cluster High
A7IJ.01A,Cluster High
AAE7.01A,Cluster High
A9GY.01A,Cluster High
A7IE.01A,Cluster High
A39V.01A,Cluster High
AADO.01A,Cluster High
A9H3.01A,Cluster High
AAVQ.01A,Cluster High
AAEK.01A,Cluster High
A9H1.01A,Cluster High
A4ZP.01A,Cluster High
X5259.01A,Cluster High
A2KA.01A,Cluster High
A459.01A,Cluster Median
AACD.01A,Cluster Median
AACT.01A,Cluster Median
A9QD.01A,Cluster Median
A495.01A,Cluster Median
A5MZ.01A,Cluster Median
A9H4.01A,Cluster Median
AAVX.01A,Cluster Median
AAE9.01A,Cluster Median
AAVP.01A,Cluster Median
AA1C.01A,Cluster Median
A8S7.01A,Cluster Median
A9GW.01A,Cluster Median
A25X.01A,Cluster Median
A7MD.01A,Cluster Median
A9CG.01A,Cluster Median
A2QQ.01A,Cluster Median
AAC8.01A,Cluster Median
A119.01A,Cluster Median
A73G.01A,Cluster Median
A3A1.01A,Cluster Median
A69H.01A,Cluster Median
A116.01A,Cluster Median
A9CD.01A,Cluster Median
A9H2.01A,Cluster Median
AA44.01A,Cluster Median
A75V.01A,Cluster Median
A39X.01A,Cluster Median
A4NL.01A,Cluster Median
A5SM.01A,Cluster Median
AA8I.01A,Cluster Median
AAW0.01A,Cluster Median
AB4B.01A,Cluster Median
A9GV.01A,Cluster Median
AADQ.01A,Cluster Median
A3A3.01A,Cluster Median
AACX.01A,Cluster Median
A3A7.01A,Cluster Median
A3MC.01A,Cluster Median
A3A5.01A,Cluster Median
A75C.01A,Cluster Median
AADF.01A,Cluster Median
A1EA.01A,Cluster Median
AACG.01A,Cluster Median
A4NQ.01A,Cluster Median
AACF.01A,Cluster Median
A9D1.01A,Cluster Median
AAED.01A,Cluster Median
AAD8.01A,Cluster Median
AADR.01A,Cluster Median
A7M5.01A,Cluster Median
A217.01A,Cluster Median
A10Y.01A,Cluster Median
A3A6.01A,Cluster Median
A7XO.01A,Cluster Median
A1ED.01A,Cluster Median
A9FV.01A,Cluster Median
A3CI.01A,Cluster Median
AAAM.01A,Cluster Median
AAE3.01A,Cluster Median
A1EK.01A,Cluster Median
A10S.01A,Cluster Median
AADU.01A,Cluster Median
AA46.01A,Cluster Median
A8TG.01A,Cluster Median
A3CJ.01A,Cluster Median
A7M8.01A,Cluster Median
A9CF.01A,Cluster Median
A9CV.01A,Cluster Median
AAEI.01A,Cluster Median
AAD3.01A,Cluster Median
AAE0.01A,Cluster Median
AAE1.01A,Cluster Median
AADJ.01A,Cluster Median
A3I1.01A,Cluster Median
A4NJ.01A,Cluster Median
A7SF.01A,Cluster Median
AAV0.01A,Cluster Median
A115.01A,Cluster Median
AACN.01A,Cluster Median
AAEB.01A,Cluster Median
X5262.01A,Cluster Median
A73A.01A,Cluster Median
A9HB.01A,Cluster Median
AADB.01A,Cluster Median
X4073.01B,Cluster Median
A9H8.01A,Cluster Median
A9H0.01A,Cluster Median
AACO.01A,Cluster Median
AAD2.01A,Cluster Median
AAVR.01A,Cluster Median
AAC9.01A,Cluster Median
AAD1.01A,Cluster Median
A5NO.01A,Cluster Median
AAUZ.01A,Cluster Median
A1HT.01A,Cluster Median
A6G5.01A,Cluster Median
A25V.01A,Cluster Median
A4NS.01A,Cluster Median
A75E.01A,Cluster Median
AA0V.01A,Cluster Median
A4XI.01A,Cluster Median
A9GX.01A,Cluster Median
A9CZ.01A,Cluster Median
A1EG.01A,Cluster Median
A7ME.01A,Cluster Median
A5SJ.01A,Cluster Median
A4NI.01A,Cluster Median
A4ND.01A,Cluster Median
AADA.01A,Cluster Low
A1EF.01A,Cluster Low
X5261.01A,Cluster Low
A5UC.01A,Cluster Low
A3A9.01A,Cluster Low
AA1D.01A,Cluster Low
A9H6.01A,Cluster Low
A66X.01A,Cluster Low
A3R3.01A,Cluster Low
A7S9.01A,Cluster Low
A6M3.01A,Cluster Low
A25S.01A,Cluster Low
A8TF.01A,Cluster Low
A520.01A,Cluster Low
A73C.01A,Cluster Low
A8O6.01A,Cluster Low
A9GU.01A,Cluster Low
A113.01A,Cluster Low
AADD.01A,Cluster Low
A8TE.01A,Cluster Low
X5263.01A,Cluster Low
X5258.01A,Cluster Low
AAEG.01A,Cluster Low
AAD5.01A,Cluster Low
A8LF.01A,Cluster Low
A11C.01A,Cluster Low
A112.01A,Cluster Low
AACJ.01A,Cluster Low
AAD6.01A,Cluster Low
AA47.01A,Cluster Low
A9CE.01A,Cluster Low
A123.01A,Cluster Low
AAVW.01A,Cluster Low
A9H5.01A,Cluster Low
A4NH.01A,Cluster Low
A9G7.01A,Cluster Low
A6J8.01A,Cluster Low
A10R.01A,Cluster Low
A10T.01A,Cluster Low
A7PX.01A,Cluster Low
A4NV.01A,Cluster Low
AACS.01A,Cluster Low
A7M7.01A,Cluster Low
A4NO.01A,Cluster Low
A5UD.01A,Cluster Low
AAV7.01A,Cluster Low
A7IF.01A,Cluster Low
AAV2.01A,Cluster Low
A4NE.01A,Cluster Low
A6M4.01A,Cluster Low
A7XP.01A,Cluster Low
A9D0.01A,Cluster Low
A1EI.01A,Cluster Low
AAVZ.01A,Cluster Low
A25Z.01A,Cluster Low
A25T.01A,Cluster Low
AAVU.01A,Cluster Low
A7PY.01A,Cluster Low
AAD0.01A,Cluster Low
A2QR.01A,Cluster Low
A7SB.01A,Cluster Low
A3A2.01A,Cluster Low
A9D4.01A,Cluster Low
A3A8.01A,Cluster Low
A5SL.01A,Cluster Low
AACQ.01A,Cluster Low
A5W4.01A,Cluster Low
AADL.01A,Cluster Low
AAVS.01A,Cluster Low
A3R2.01A,Cluster Low
A25Y.01A,Cluster Low
AACW.01A,Cluster Low
AADV.01A,Cluster Low
A12J.01A,Cluster Low
A11B.01A,Cluster Low
A3KF.01A,Cluster Low
AACV.01A,Cluster Low
AAV4.01A,Cluster Low
AAW3.01A,Cluster Low
A39Z.01A,Cluster Low
A86L.01A,Cluster Low
AAEE.01A,Cluster Low
A9HA.01A,Cluster Low
AADY.01A,Cluster Low
AACE.01A,Cluster Low
A3CK.01A,Cluster Low
A1EB.01A,Cluster Low
A9H9.01A,Cluster Low
AACU.01A,Cluster Low
A23B.01A,Cluster Low
A39W.01A,Cluster Low
AAW2.01A,Cluster Low
A9GS.01A,Cluster Low
A9DB.01A,Cluster Low
AAVY.01A,Cluster Low
A4NK.01A,Cluster Low
A6C0.01A,Cluster Low
A5N0.01A,Cluster Low
AADM.01A,Cluster Low
AAW1.01A,Cluster Low
A5DF.01A,Cluster Low
A8HT.01A,Cluster Low
A3CH.01A,Cluster Low
A11D.01A,Cluster Low
A9CY.01A,Cluster Low
AA0U.01A,Cluster Low
AADC.01A,Cluster Low
A4NG.01A,Cluster Low
A75I.01A,Cluster Low
A9FS.01A,Cluster Low
AADK.01A,Cluster Low
A2KC.01A,Cluster Low
AADP.01A,Cluster Low
A10Z.01A,Cluster Low
AAE6.01A,Cluster Low
A8HV.01A,Cluster Low
AAV5.01A,Cluster Low
AAV6.01A,Cluster Low
A73E.01A,Cluster Low
A66Y.01A,Cluster Low
A3A4.01A,Cluster Low
A4NN.01A,Cluster Low
A9VG.01A,Cluster Low
A4NF.01A,Cluster Low
A8HU.01A,Cluster Low
A7II.01A,Cluster Low
A7M6.01A,Cluster Low
AADW.01A,Cluster Low
A4U2.01A,Cluster Low
A8HS.01A,Cluster Low
A26S.01A,Cluster Low
A9GZ.01A,Cluster Low
A118.01A,Cluster Low
A9H7.01A,Cluster Low
A1EJ.01A,Cluster Low
A6M6.01A,Cluster Low
A11A.01A,Cluster Low
A7PZ.01A,Cluster Low
A75G.01A,Cluster Low
A10U.01A,Cluster Low
A1EL.01A,Cluster Low
A7IG.01A,Cluster Low
A4NP.01A,Cluster Low
A5UE.01A,Cluster Low
A8O5.01A,Cluster Low
A3MA.01A,Cluster Low
A7IH.01A,Cluster Low
A7B7.01A,Cluster Low
