,train,val,test
0,normal_001,patient_067_node_0,normal_112
1,normal_002,patient_067_node_1,patient_047_node_0
2,normal_003,patient_067_node_2,patient_047_node_1
3,normal_004,patient_067_node_3,patient_047_node_2
4,normal_005,patient_067_node_4,patient_047_node_3
5,normal_006,normal_099,patient_047_node_4
6,normal_008,test_054,patient_075_node_0
7,normal_009,normal_134,patient_075_node_1
8,normal_010,test_126,patient_075_node_2
9,normal_011,normal_093,patient_075_node_3
10,normal_014,normal_046,patient_075_node_4
11,normal_017,test_003,normal_127
12,normal_018,test_109,normal_015
13,normal_019,normal_072,normal_105
14,normal_020,normal_125,normal_007
15,normal_021,patient_081_node_0,patient_056_node_0
16,normal_022,patient_081_node_1,patient_056_node_1
17,normal_023,patient_081_node_2,patient_056_node_2
18,normal_024,patient_081_node_3,patient_056_node_3
19,normal_025,patient_081_node_4,patient_056_node_4
20,normal_026,normal_067,test_103
21,normal_028,patient_032_node_0,normal_090
22,normal_029,patient_032_node_1,patient_000_node_0
23,normal_030,patient_032_node_2,patient_000_node_1
24,normal_031,patient_032_node_3,patient_000_node_2
25,normal_032,patient_032_node_4,patient_000_node_3
26,normal_033,test_098,patient_000_node_4
27,normal_034,normal_012,test_081
28,normal_035,normal_027,normal_126
29,normal_036,normal_080,normal_016
30,normal_037,normal_094,normal_050
31,normal_038,test_076,test_087
32,normal_039,patient_024_node_0,normal_107
33,normal_040,patient_024_node_1,normal_123
34,normal_041,patient_024_node_2,test_047
35,normal_042,patient_024_node_3,normal_013
36,normal_044,patient_024_node_4,normal_146
37,normal_045,normal_156,normal_074
38,normal_047,normal_079,normal_060
39,normal_048,test_031,normal_109
40,normal_049,test_100,test_032
41,normal_051,normal_157,patient_041_node_0
42,normal_052,patient_033_node_0,patient_041_node_1
43,normal_053,patient_033_node_1,patient_041_node_2
44,normal_054,patient_033_node_2,patient_041_node_3
45,normal_055,patient_033_node_3,patient_041_node_4
46,normal_056,patient_033_node_4,test_063
47,normal_057,normal_064,normal_043
48,normal_058,patient_068_node_0,patient_090_node_0
49,normal_059,patient_068_node_1,patient_090_node_1
50,normal_061,patient_068_node_2,patient_090_node_2
51,normal_062,patient_068_node_3,patient_090_node_3
52,normal_063,patient_068_node_4,patient_090_node_4
53,normal_065,patient_036_node_0,normal_150
54,normal_066,patient_036_node_1,test_058
55,normal_068,patient_036_node_2,test_074
56,normal_069,patient_036_node_3,test_040
57,normal_070,patient_036_node_4,test_121
58,normal_071,patient_004_node_0,test_071
59,normal_073,patient_004_node_1,test_113
60,normal_075,patient_004_node_2,test_110
61,normal_076,patient_004_node_3,tumor_060
62,normal_077,patient_004_node_4,test_013
63,normal_078,tumor_051,tumor_030
64,normal_081,tumor_054,tumor_026
65,normal_082,tumor_036,test_117
66,normal_083,tumor_057,tumor_040
67,normal_084,test_048,tumor_021
68,normal_085,patient_062_node_0,tumor_097
69,normal_087,patient_062_node_1,test_122
70,normal_088,patient_062_node_2,tumor_014
71,normal_089,patient_062_node_3,tumor_067
72,normal_091,patient_062_node_4,tumor_104
73,normal_092,tumor_089,test_068
74,normal_095,tumor_071,
75,normal_096,tumor_029,
76,normal_097,tumor_006,
77,normal_098,tumor_080,
78,normal_100,tumor_011,
79,normal_101,tumor_059,
80,normal_102,tumor_107,
81,normal_103,test_002,
82,normal_104,test_033,
83,normal_106,tumor_075,
84,normal_108,tumor_007,
85,normal_110,patient_095_node_0,
86,normal_111,patient_095_node_1,
87,normal_113,patient_095_node_2,
88,normal_114,patient_095_node_3,
89,normal_115,patient_095_node_4,
90,normal_116,,
91,normal_117,,
92,normal_118,,
93,normal_119,,
94,normal_120,,
95,normal_121,,
96,normal_122,,
97,normal_124,,
98,normal_128,,
99,normal_129,,
100,normal_130,,
101,normal_131,,
102,normal_132,,
103,normal_133,,
104,normal_135,,
105,normal_136,,
106,normal_137,,
107,normal_138,,
108,normal_139,,
109,normal_140,,
110,normal_141,,
111,normal_142,,
112,normal_143,,
113,normal_144,,
114,normal_145,,
115,normal_147,,
116,normal_148,,
117,normal_149,,
118,normal_151,,
119,normal_152,,
120,normal_153,,
121,normal_154,,
122,normal_155,,
123,normal_158,,
124,normal_159,,
125,patient_008_node_0,,
126,patient_008_node_1,,
127,patient_008_node_2,,
128,patient_008_node_3,,
129,patient_008_node_4,,
130,patient_010_node_0,,
131,patient_010_node_1,,
132,patient_010_node_2,,
133,patient_010_node_3,,
134,patient_010_node_4,,
135,patient_011_node_0,,
136,patient_011_node_1,,
137,patient_011_node_2,,
138,patient_011_node_3,,
139,patient_011_node_4,,
140,patient_012_node_0,,
141,patient_012_node_1,,
142,patient_012_node_2,,
143,patient_012_node_3,,
144,patient_012_node_4,,
145,patient_016_node_0,,
146,patient_016_node_1,,
147,patient_016_node_2,,
148,patient_016_node_3,,
149,patient_016_node_4,,
150,patient_019_node_0,,
151,patient_019_node_1,,
152,patient_019_node_2,,
153,patient_019_node_3,,
154,patient_019_node_4,,
155,patient_021_node_0,,
156,patient_021_node_1,,
157,patient_021_node_2,,
158,patient_021_node_3,,
159,patient_021_node_4,,
160,patient_022_node_0,,
161,patient_022_node_1,,
162,patient_022_node_2,,
163,patient_022_node_3,,
164,patient_022_node_4,,
165,patient_027_node_0,,
166,patient_027_node_1,,
