,train,val,test
0,slide_13,slide_360,slide_406
1,slide_110,slide_121,slide_320
2,slide_112,slide_48,slide_376
3,slide_113,slide_352,slide_233
4,slide_114,slide_378,slide_194
5,slide_116,slide_379,slide_87
6,slide_117,slide_459,slide_67
7,slide_118,slide_166,slide_40
8,slide_119,slide_172,slide_359
9,slide_120,slide_17,slide_324
10,slide_122,slide_155,slide_423
11,slide_123,slide_35,slide_456
12,slide_128,slide_66,slide_476
13,slide_130,slide_242,slide_177
14,slide_132,slide_243,slide_496
15,slide_133,slide_179,slide_14
16,slide_134,slide_156,slide_332
17,slide_135,slide_157,slide_16
18,slide_136,slide_96,slide_237
19,slide_137,slide_336,slide_388
20,slide_139,slide_91,slide_491
21,slide_141,slide_445,slide_284
22,slide_143,slide_478,slide_142
23,slide_144,slide_109,slide_127
24,slide_145,slide_124,slide_77
25,slide_146,slide_298,slide_312
26,slide_150,slide_165,slide_431
27,slide_151,slide_250,slide_222
28,slide_152,slide_64,slide_106
29,slide_153,slide_65,slide_414
30,slide_154,slide_305,slide_415
31,slide_160,slide_223,slide_15
32,slide_161,slide_42,slide_375
33,slide_162,slide_296,slide_343
34,slide_167,slide_131,slide_407
35,slide_168,slide_203,slide_408
36,slide_171,slide_355,slide_338
37,slide_20,slide_147,slide_339
38,slide_173,slide_258,slide_429
39,slide_174,slide_291,slide_198
40,slide_175,slide_31,slide_437
41,slide_176,slide_266,slide_255
42,slide_180,slide_158,slide_441
43,slide_21,slide_159,slide_321
44,slide_183,slide_129,slide_69
45,slide_184,slide_444,slide_278
46,slide_185,slide_299,slide_279
47,slide_186,slide_361,slide_499
48,slide_197,slide_362,slide_453
49,slide_199,slide_86,
50,slide_200,slide_193,
51,slide_202,,
52,slide_204,,
53,slide_205,,
54,slide_207,,
55,slide_208,,
56,slide_209,,
57,slide_210,,
58,slide_211,,
59,slide_212,,
60,slide_213,,
61,slide_214,,
62,slide_217,,
63,slide_3,,
64,slide_4,,
65,slide_218,,
66,slide_221,,
67,slide_224,,
68,slide_225,,
69,slide_226,,
70,slide_227,,
71,slide_228,,
72,slide_229,,
73,slide_25,,
74,slide_230,,
75,slide_231,,
76,slide_232,,
77,slide_234,,
78,slide_235,,
79,slide_236,,
80,slide_26,,
81,slide_240,,
82,slide_244,,
83,slide_247,,
84,slide_248,,
85,slide_251,,
86,slide_252,,
87,slide_27,,
88,slide_253,,
89,slide_254,,
90,slide_256,,
91,slide_257,,
92,slide_259,,
93,slide_260,,
94,slide_261,,
95,slide_28,,
96,slide_29,,
97,slide_267,,
98,slide_268,,
99,slide_270,,
100,slide_271,,
101,slide_272,,
102,slide_274,,
103,slide_275,,
104,slide_276,,
105,slide_277,,
106,slide_280,,
107,slide_285,,
108,slide_286,,
109,slide_287,,
110,slide_288,,
111,slide_289,,
112,slide_292,,
113,slide_293,,
114,slide_294,,
115,slide_297,,
116,slide_300,,
117,slide_301,,
118,slide_307,,
119,slide_308,,
120,slide_313,,
121,slide_314,,
122,slide_315,,
123,slide_316,,
124,slide_317,,
125,slide_318,,
126,slide_319,,
127,slide_323,,
128,slide_327,,
129,slide_328,,
130,slide_5,,
131,slide_329,,
132,slide_330,,
133,slide_331,,
134,slide_333,,
135,slide_334,,
136,slide_335,,
137,slide_337,,
138,slide_340,,
139,slide_341,,
140,slide_347,,
141,slide_348,,
142,slide_349,,
143,slide_350,,
144,slide_353,,
145,slide_354,,
146,slide_356,,
147,slide_358,,
148,slide_365,,
149,slide_366,,
150,slide_367,,
151,slide_368,,
152,slide_369,,
153,slide_371,,
154,slide_372,,
155,slide_373,,
156,slide_374,,
157,slide_39,,
158,slide_377,,
159,slide_380,,
160,slide_382,,
161,slide_383,,
162,slide_384,,
163,slide_385,,
164,slide_386,,
165,slide_387,,
166,slide_390,,
167,slide_393,,
168,slide_394,,
169,slide_395,,
170,slide_396,,
171,slide_397,,
172,slide_398,,
173,slide_400,,
174,slide_401,,
175,slide_402,,
176,slide_403,,
177,slide_404,,
178,slide_405,,
179,slide_409,,
180,slide_410,,
181,slide_411,,
182,slide_413,,
183,slide_416,,
184,slide_417,,
185,slide_419,,
186,slide_420,,
187,slide_421,,
188,slide_424,,
189,slide_426,,
190,slide_427,,
191,slide_44,,
192,slide_45,,
193,slide_430,,
194,slide_439,,
195,slide_0,,
196,slide_1,,
197,slide_2,,
198,slide_111,,
199,slide_115,,
200,slide_125,,
201,slide_126,,
202,slide_138,,
203,slide_140,,
204,slide_148,,
205,slide_149,,
206,slide_18,,
207,slide_19,,
208,slide_163,,
209,slide_164,,
210,slide_169,,
211,slide_170,,
212,slide_178,,
213,slide_181,,
214,slide_182,,
215,slide_187,,
216,slide_188,,
217,slide_189,,
218,slide_190,,
219,slide_191,,
220,slide_192,,
221,slide_22,,
222,slide_195,,
