,train,val,test
slide_0,True,False,False
slide_106,True,False,False
slide_107,True,False,False
slide_109,True,False,False
slide_113,True,False,False
slide_114,True,False,False
slide_12,True,False,False
slide_13,True,False,False
slide_118,True,False,False
slide_121,True,False,False
slide_14,True,False,False
slide_129,True,False,False
slide_133,True,False,False
slide_134,True,False,False
slide_135,True,False,False
slide_137,True,False,False
slide_138,True,False,False
slide_139,True,False,False
slide_140,True,False,False
slide_141,True,False,False
slide_143,True,False,False
slide_148,True,False,False
slide_151,True,False,False
slide_153,True,False,False
slide_157,True,False,False
slide_158,True,False,False
slide_159,True,False,False
slide_163,True,False,False
slide_166,True,False,False
slide_171,True,False,False
slide_172,True,False,False
slide_173,True,False,False
slide_174,True,False,False
slide_175,True,False,False
slide_176,True,False,False
slide_177,True,False,False
slide_180,True,False,False
slide_181,True,False,False
slide_182,True,False,False
slide_183,True,False,False
slide_185,True,False,False
slide_186,True,False,False
slide_187,True,False,False
slide_188,True,False,False
slide_193,True,False,False
slide_194,True,False,False
slide_196,True,False,False
slide_198,True,False,False
slide_199,True,False,False
slide_200,True,False,False
slide_22,True,False,False
slide_206,True,False,False
slide_207,True,False,False
slide_208,True,False,False
slide_2,True,False,False
slide_213,True,False,False
slide_215,True,False,False
slide_216,True,False,False
slide_217,True,False,False
slide_218,True,False,False
slide_219,True,False,False
slide_221,True,False,False
slide_222,True,False,False
slide_223,True,False,False
slide_225,True,False,False
slide_226,True,False,False
slide_231,True,False,False
slide_232,True,False,False
slide_233,True,False,False
slide_234,True,False,False
slide_240,True,False,False
slide_242,True,False,False
slide_243,True,False,False
slide_250,True,False,False
slide_251,True,False,False
slide_255,True,False,False
slide_259,True,False,False
slide_262,True,False,False
slide_266,True,False,False
slide_271,True,False,False
slide_272,True,False,False
slide_273,True,False,False
slide_274,True,False,False
slide_276,True,False,False
slide_279,True,False,False
slide_280,True,False,False
slide_281,True,False,False
slide_282,True,False,False
slide_283,True,False,False
slide_287,True,False,False
slide_298,True,False,False
slide_299,True,False,False
slide_301,True,False,False
slide_306,True,False,False
slide_310,True,False,False
slide_32,True,False,False
slide_313,True,False,False
slide_315,True,False,False
slide_316,True,False,False
slide_322,True,False,False
slide_3,True,False,False
slide_326,True,False,False
slide_331,True,False,False
slide_11,True,False,False
slide_108,True,False,False
slide_111,True,False,False
slide_120,True,False,False
slide_122,True,False,False
slide_124,True,False,False
slide_131,True,False,False
slide_16,True,False,False
slide_147,True,False,False
slide_149,True,False,False
slide_150,True,False,False
slide_156,True,False,False
slide_170,True,False,False
slide_20,True,False,False
slide_184,True,False,False
slide_190,True,False,False
slide_191,True,False,False
slide_209,True,False,False
slide_210,True,False,False
slide_211,True,False,False
slide_235,True,False,False
slide_237,True,False,False
slide_238,True,False,False
slide_239,True,False,False
slide_26,True,False,False
slide_248,True,False,False
slide_252,True,False,False
slide_253,True,False,False
slide_256,True,False,False
slide_257,True,False,False
slide_258,True,False,False
slide_260,True,False,False
slide_267,True,False,False
slide_269,True,False,False
slide_270,True,False,False
slide_28,True,False,False
slide_29,True,False,False
slide_285,True,False,False
slide_286,True,False,False
slide_289,True,False,False
slide_30,True,False,False
slide_297,True,False,False
slide_300,True,False,False
slide_31,True,False,False
slide_303,True,False,False
slide_307,True,False,False
slide_308,True,False,False
slide_311,True,False,False
slide_312,True,False,False
slide_314,True,False,False
slide_317,True,False,False
slide_33,True,False,False
slide_325,True,False,False
slide_327,True,False,False
slide_336,True,False,False
slide_342,True,False,False
slide_1,True,False,False
slide_112,True,False,False
slide_119,True,False,False
slide_123,True,False,False
slide_127,True,False,False
slide_128,True,False,False
slide_142,True,False,False
slide_144,True,False,False
slide_152,True,False,False
slide_155,True,False,False
slide_165,True,False,False
slide_18,True,False,False
slide_19,True,False,False
slide_168,True,False,False
slide_178,True,False,False
slide_189,True,False,False
slide_192,True,False,False
slide_202,True,False,False
slide_205,True,False,False
slide_212,True,False,False
slide_220,True,False,False
slide_24,True,False,False
slide_224,True,False,False
slide_227,True,False,False
slide_236,True,False,False
slide_241,True,False,False
slide_244,True,False,False
slide_245,True,False,False
slide_247,True,False,False
slide_249,True,False,False
slide_261,True,False,False
slide_275,True,False,False
slide_277,True,False,False
slide_278,True,False,False
slide_292,True,False,False
slide_293,True,False,False
slide_268,False,True,False
slide_433,False,True,False
slide_434,False,True,False
slide_443,False,True,False
slide_17,False,True,False
slide_160,False,True,False
slide_459,False,True,False
slide_318,False,True,False
slide_47,False,True,False
slide_446,False,True,False
slide_447,False,True,False
slide_195,False,True,False
slide_132,False,True,False
slide_201,False,True,False
slide_59,False,True,False
slide_145,False,True,False
slide_291,False,True,False
slide_324,False,True,False
slide_73,False,True,False
slide_296,False,True,False
slide_355,False,True,False
slide_115,False,True,False
slide_169,False,True,False
slide_490,False,True,False
slide_35,False,True,False
slide_465,False,True,False
slide_480,False,True,False
slide_372,False,True,False
slide_164,False,True,False
slide_214,False,True,False
slide_167,False,True,False
slide_305,False,True,False
slide_302,False,True,False
slide_99,False,True,False
slide_23,False,True,False
slide_335,False,True,False
slide_21,False,True,False
slide_146,False,True,False
slide_265,False,True,False
slide_197,False,True,False
slide_414,False,True,False
slide_288,False,True,False
slide_27,False,True,False
slide_85,False,True,False
slide_84,False,True,False
slide_320,False,True,False
slide_482,False,False,True
slide_391,False,False,True
slide_392,False,False,True
slide_294,False,False,True
