,train,val,test
0,slide_0,slide_262,slide_145
1,slide_106,slide_45,slide_407
2,slide_107,slide_393,slide_427
3,slide_109,slide_394,slide_470
4,slide_113,slide_49,slide_344
5,slide_115,slide_132,slide_143
6,slide_116,slide_114,slide_180
7,slide_117,slide_266,slide_181
8,slide_118,slide_12,slide_70
9,slide_121,slide_13,slide_315
10,slide_125,slide_397,slide_298
11,slide_126,slide_44,slide_337
12,slide_14,slide_130,slide_87
13,slide_133,slide_255,slide_163
14,slide_134,slide_182,slide_141
15,slide_135,slide_136,slide_444
16,slide_15,slide_76,slide_445
17,slide_137,slide_268,slide_166
18,slide_138,slide_339,slide_158
19,slide_139,slide_228,slide_129
20,slide_140,slide_229,slide_482
21,slide_148,slide_468,slide_22
22,slide_151,slide_194,slide_492
23,slide_153,slide_446,slide_467
24,slide_17,slide_447,slide_187
25,slide_157,slide_418,slide_33
26,slide_159,slide_419,slide_248
27,slide_160,slide_488,slide_150
28,slide_161,slide_489,slide_29
29,slide_162,slide_270,slide_307
30,slide_169,slide_25,slide_256
31,slide_171,slide_108,slide_465
32,slide_172,slide_342,slide_289
33,slide_173,slide_486,slide_285
34,slide_174,slide_36,slide_420
35,slide_175,slide_170,slide_421
36,slide_176,slide_120,slide_6
37,slide_177,slide_230,slide_400
38,slide_179,slide_343,slide_336
39,slide_183,slide_28,slide_247
40,slide_185,slide_297,slide_46
41,slide_186,slide_102,slide_112
42,slide_188,slide_245,slide_119
43,slide_193,slide_265,slide_338
44,slide_195,slide_192,slide_347
45,slide_196,slide_1,slide_110
46,slide_198,slide_5,slide_290
47,slide_199,slide_350,
48,slide_200,slide_249,
49,slide_201,slide_39,
50,slide_203,,
51,slide_204,,
52,slide_206,,
53,slide_207,,
54,slide_208,,
55,slide_2,,
56,slide_213,,
57,slide_215,,
58,slide_216,,
59,slide_217,,
60,slide_218,,
61,slide_219,,
62,slide_221,,
63,slide_222,,
64,slide_223,,
65,slide_225,,
66,slide_226,,
67,slide_231,,
68,slide_232,,
69,slide_233,,
70,slide_234,,
71,slide_240,,
72,slide_242,,
73,slide_243,,
74,slide_250,,
75,slide_251,,
76,slide_259,,
77,slide_263,,
78,slide_264,,
79,slide_271,,
80,slide_272,,
81,slide_273,,
82,slide_274,,
83,slide_276,,
84,slide_279,,
85,slide_280,,
86,slide_281,,
87,slide_282,,
88,slide_283,,
89,slide_287,,
90,slide_291,,
91,slide_294,,
92,slide_295,,
93,slide_296,,
94,slide_299,,
95,slide_301,,
96,slide_306,,
97,slide_310,,
98,slide_32,,
99,slide_313,,
100,slide_316,,
101,slide_318,,
102,slide_322,,
103,slide_3,,
104,slide_324,,
105,slide_326,,
106,slide_11,,
107,slide_111,,
108,slide_122,,
109,slide_124,,
110,slide_131,,
111,slide_146,,
112,slide_16,,
113,slide_147,,
114,slide_149,,
115,slide_156,,
116,slide_164,,
117,slide_167,,
118,slide_20,,
119,slide_184,,
120,slide_190,,
121,slide_21,,
122,slide_191,,
123,slide_209,,
124,slide_210,,
125,slide_211,,
126,slide_23,,
127,slide_214,,
128,slide_235,,
129,slide_237,,
130,slide_238,,
131,slide_239,,
132,slide_246,,
133,slide_26,,
134,slide_252,,
135,slide_253,,
136,slide_257,,
137,slide_258,,
138,slide_260,,
139,slide_267,,
140,slide_269,,
141,slide_286,,
142,slide_30,,
143,slide_300,,
144,slide_302,,
145,slide_31,,
146,slide_303,,
147,slide_305,,
148,slide_308,,
149,slide_311,,
150,slide_312,,
151,slide_314,,
152,slide_317,,
153,slide_319,,
154,slide_325,,
155,slide_327,,
156,slide_328,,
157,slide_335,,
158,slide_340,,
159,slide_341,,
160,slide_349,,
161,slide_358,,
162,slide_123,,
163,slide_127,,
164,slide_128,,
165,slide_142,,
166,slide_144,,
167,slide_152,,
168,slide_154,,
169,slide_155,,
170,slide_165,,
171,slide_18,,
172,slide_19,,
173,slide_168,,
174,slide_178,,
175,slide_189,,
176,slide_197,,
177,slide_202,,
178,slide_205,,
179,slide_212,,
180,slide_220,,
181,slide_24,,
182,slide_224,,
183,slide_227,,
184,slide_236,,
185,slide_241,,
186,slide_244,,
187,slide_254,,
188,slide_27,,
189,slide_261,,
190,slide_275,,
191,slide_277,,
192,slide_278,,
193,slide_284,,
194,slide_288,,
195,slide_292,,
196,slide_293,,
197,slide_304,,
